Region Name,Plant Name,Year,Month,Installed Capacity (kW),Net Generation (kWh)
Great Plains                                                                                                                    ,Alcova,1999.00,9.00,36000.00,7313200.00
Great Plains                                                                                                                    ,Alcova,1999.00,10.00,36000.00,5669500.00
Great Plains                                                                                                                    ,Alcova,1999.00,11.00,36000.00,4472400.00
Great Plains                                                                                                                    ,Alcova,1999.00,12.00,36000.00,5048100.00
Great Plains                                                                                                                    ,Alcova,2000.00,1.00,36000.00,5168600.00
Great Plains                                                                                                                    ,Alcova,2000.00,2.00,36000.00,5897000.00
Great Plains                                                                                                                    ,Alcova,2000.00,3.00,36000.00,9697700.00
Great Plains                                                                                                                    ,Alcova,2000.00,4.00,36000.00,9967200.00
Great Plains                                                                                                                    ,Alcova,2000.00,5.00,36000.00,7247900.00
Great Plains                                                                                                                    ,Alcova,2000.00,6.00,36000.00,14990000.00
Great Plains                                                                                                                    ,Alcova,2000.00,7.00,36000.00,25364800.00
Great Plains                                                                                                                    ,Alcova,2000.00,8.00,36000.00,24031100.00
Great Plains                                                                                                                    ,Alcova,2000.00,9.00,36000.00,8025900.00
Great Plains                                                                                                                    ,Alcova,2000.00,10.00,36000.00,4957800.00
Great Plains                                                                                                                    ,Alcova,2000.00,11.00,36000.00,3948900.00
Great Plains                                                                                                                    ,Alcova,2000.00,12.00,36000.00,4008800.00
Great Plains                                                                                                                    ,Alcova,2001.00,1.00,36000.00,4055800.00
Great Plains                                                                                                                    ,Alcova,2001.00,2.00,36000.00,3618100.00
Great Plains                                                                                                                    ,Alcova,2001.00,3.00,36000.00,6413800.00
Great Plains                                                                                                                    ,Alcova,2001.00,4.00,36000.00,7652200.00
Great Plains                                                                                                                    ,Alcova,2001.00,5.00,38700.00,7432400.00
Great Plains                                                                                                                    ,Alcova,2001.00,6.00,38700.00,18630000.00
Great Plains                                                                                                                    ,Alcova,2001.00,7.00,38700.00,21688800.00
Great Plains                                                                                                                    ,Alcova,2001.00,8.00,38700.00,21778400.00
Great Plains                                                                                                                    ,Alcova,2001.00,9.00,38700.00,13365500.00
Great Plains                                                                                                                    ,Alcova,2001.00,10.00,38700.00,5737800.00
Great Plains                                                                                                                    ,Alcova,2001.00,11.00,38700.00,4300800.00
Great Plains                                                                                                                    ,Alcova,2001.00,12.00,38700.00,4115600.00
Great Plains                                                                                                                    ,Alcova,2002.00,1.00,38700.00,4030200.00
Great Plains                                                                                                                    ,Alcova,2002.00,2.00,38700.00,3608900.00
Great Plains                                                                                                                    ,Alcova,2002.00,3.00,38700.00,3811900.00
Great Plains                                                                                                                    ,Alcova,2002.00,4.00,41400.00,3808300.00
Great Plains                                                                                                                    ,Alcova,2002.00,5.00,41400.00,4277200.00
Great Plains                                                                                                                    ,Alcova,2002.00,6.00,41400.00,13204600.00
Great Plains                                                                                                                    ,Alcova,2002.00,7.00,41400.00,16266500.00
Great Plains                                                                                                                    ,Alcova,2002.00,8.00,41400.00,11071200.00
Great Plains                                                                                                                    ,Alcova,2002.00,9.00,41400.00,3360500.00
Great Plains                                                                                                                    ,Alcova,2002.00,10.00,41400.00,3535500.00
Great Plains                                                                                                                    ,Alcova,2002.00,11.00,41400.00,2749800.00
