Region Name,Plant Name,Year,Month,Installed Capacity (kW),Net Generation (kWh)
Great Plains,Alcova,1999,9,"36,000.00","7,313,200.00"
Great Plains,Alcova,1999,10,"36,000.00","5,669,500.00"
Great Plains,Alcova,1999,11,"36,000.00","4,472,400.00"
Great Plains,Alcova,1999,12,"36,000.00","5,048,100.00"
Great Plains,Alcova,2000,1,"36,000.00","5,168,600.00"
Great Plains,Alcova,2000,2,"36,000.00","5,897,000.00"
Great Plains,Alcova,2000,3,"36,000.00","9,697,700.00"
Great Plains,Alcova,2000,4,"36,000.00","9,967,200.00"
Great Plains,Alcova,2000,5,"36,000.00","7,247,900.00"
Great Plains,Alcova,2000,6,"36,000.00","14,990,000.00"
Great Plains,Alcova,2000,7,"36,000.00","25,364,800.00"
Great Plains,Alcova,2000,8,"36,000.00","24,031,100.00"
Great Plains,Alcova,2000,9,"36,000.00","8,025,900.00"
Great Plains,Alcova,2000,10,"36,000.00","4,957,800.00"
Great Plains,Alcova,2000,11,"36,000.00","3,948,900.00"
Great Plains,Alcova,2000,12,"36,000.00","4,008,800.00"
Great Plains,Alcova,2001,1,"36,000.00","4,055,800.00"
Great Plains,Alcova,2001,2,"36,000.00","3,618,100.00"
Great Plains,Alcova,2001,3,"36,000.00","6,413,800.00"
Great Plains,Alcova,2001,4,"36,000.00","7,652,200.00"
Great Plains,Alcova,2001,5,"38,700.00","7,432,400.00"
Great Plains,Alcova,2001,6,"38,700.00","18,630,000.00"
Great Plains,Alcova,2001,7,"38,700.00","21,688,800.00"
Great Plains,Alcova,2001,8,"38,700.00","21,778,400.00"
Great Plains,Alcova,2001,9,"38,700.00","13,365,500.00"
Great Plains,Alcova,2001,10,"38,700.00","5,737,800.00"
Great Plains,Alcova,2001,11,"38,700.00","4,300,800.00"
Great Plains,Alcova,2001,12,"38,700.00","4,115,600.00"
Great Plains,Alcova,2002,1,"38,700.00","4,030,200.00"
Great Plains,Alcova,2002,2,"38,700.00","3,608,900.00"
Great Plains,Alcova,2002,3,"38,700.00","3,811,900.00"
